VIS_AREA_SQM,SWIR_AREA_SQM,VIS_PATCHES,SWIR_PATCHES,ENTITY_ID,SHAPE,VIS_CLOUDS,VIS_SHADOW,VIS_SHADOW_AREA,VIS_TRACKS,SWIR_SHADOW,SWIR_SHADOW_AREA,SWIR_NOISE,SWIR_CLOUDS,SWIR_TRACKS,SLC_ERR_AREA,SLC_ERR,,,,,,,
3485034.225,3175346.895,1,3,S2B_MSIL2A_20211207T210519_N0301_R071_T58CEC_20211207T222420_clip,diffuse,0,1,56519.09355,1,1,73264.23602,1,0,1,0,0,,,,,,,
3859926.103,416325.8998,1,1,S2B_MSIL2A_20211217T210519_N0301_R071_T58CEC_20211217T221059_clip,diffuse,0,1,59244.91433,1,1,61996.26706,0,0,1,0,0,,,,,,,
4083016.002,229273.2172,1,1,S2B_MSIL2A_20211226T213359_N0301_R057_T58CEC_20211226T225911_clip,diffuse,0,1,43626.2774,1,1,42378.32262,1,0,1,0,0,,,,,,,
,,,,S2B_MSIL2A_20220105T213359_N0301_R057_T58CEC_20220105T225816_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,,,S2B_MSIL2A_20220116T210519_N0500_R071_T58CEC_20230207T124710_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
253308.8168,,1,,S2B_MSIL2A_20220919T212429_N0400_R014_T58CEC_20220919T235921_clip,multicluster,0,1,59214.77149,0,1,4111409.151,1,0,0,0,0,,,,,,,
304369.9722,,1,,S2B_MSIL2A_20220929T212429_N0400_R014_T58CEC_20220930T001204_clip,single-cluster,1,1,1186143.937,0,0,0,0,1,0,0,0,,,,,,,
253332.427,148833.3827,1,1,S2B_MSIL2A_20221009T212429_N0400_R014_T58CEC_20221009T230657_clip,multicluster,0,1,70974.77747,0,1,356040.8106,1,1,1,0,0,,,,,,,
326643.1187,276567.6371,1,1,S2B_MSIL2A_20221013T210529_N0400_R071_T58CEC_20221013T234652_clip,diffuse,0,1,46087.00577,0,1,277643.931,1,0,1,0,0,,,,,,,
530916.0571,409722.8773,1,2,S2B_MSIL2A_20221102T210529_N0400_R071_T58CEC_20221103T074900_clip,diffuse,0,1,31531.92669,1,1,77828.26651,0,0,1,0,0,,,,,,,
663252.0604,540192.3868,1,2,S2B_MSIL2A_20221112T210529_N0400_R071_T58CEC_20221113T185446_clip,diffuse,0,1,27774.97333,1,1,59482.30763,1,0,1,0,0,,,,,,,
1083019.53,838969.1341,1,3,S2B_MSIL2A_20221122T210529_N0400_R071_T58CEC_20221122T220839_clip,diffuse,0,1,18204.44443,1,0,0,1,0,1,0,0,,,,,,,
1477133.906,1029802.413,1,4,S2B_MSIL2A_20221128T212429_N0400_R014_T58CEC_20221128T222553_clip,diffuse,0,1,41659.80868,1,1,38697.16027,1,0,1,0,0,,,,,,,
1817854.064,2145210.236,3,2,S2B_MSIL2A_20221218T212429_N0509_R014_T58CEC_20221218T222509_clip,diffuse,0,1,28789.16336,1,1,39999.04474,1,0,1,0,0,,,,,,,
1953107.124,2366745.065,3,1,S2B_MSIL2A_20221222T210529_N0509_R071_T58CEC_20221222T220639_clip,diffuse,1,1,28988.493,1,1,40388.09468,0,1,1,0,0,,,,,,,
1552862.2,572916.8793,3,2,S2B_MSIL2A_20230101T210529_N0509_R071_T58CEC_20230101T220357_clip,diffuse,0,1,29581.12207,1,1,47136.91026,1,0,1,0,0,,,,,,,
878349.5758,1069969.006,2,3,S2B_MSIL2A_20230111T210519_N0509_R071_T58CEC_20230111T220439_clip,diffuse,0,0,0,0,0,0,1,0,1,0,0,,,,,,,
,,,,S2B_MSIL2A_20230121T210529_N0509_R071_T58CEC_20230121T220731_clip,no guano,1,0,0,0,0,0,1,0,0,0,0,,,,,,,
,,,,S2B_MSIL2A_20230213T211459_N0509_R114_T58CEC_20230213T223135_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
107102.6383,76904.18565,1,1,S2B_MSIL2A_20231004T212429_N0509_R014_T58CEC_20231004T230150_clip,single-cluster,0,0,0,0,1,64285.75724,1,1,0,0,0,,,,,,,
128609.233,68629.05233,1,2,S2B_MSIL2A_20231008T210529_N0509_R071_T58CEC_20231008T224907_clip,single-cluster,0,0,0,0,1,58180.40695,1,0,0,0,0,,,,,,,
134403.3625,84594.5777,1,1,S2B_MSIL2A_20231014T212429_N0509_R014_T58CEC_20231014T225417_clip,multicluster,0,1,55983.84642,0,1,181155.4265,1,0,0,0,0,,,,,,,
42538.78834,30302.46127,2,2,S2B_MSIL2A_20231024T212429_N0509_R014_T58CEC_20231024T223308_clip,multicluster,0,1,40592.69234,0,1,111407.7324,1,0,0,0,0,,,,,,,
63669.04632,137634.6806,2,1,S2B_MSIL2A_20231028T210529_N0509_R071_T58CEC_20231028T222032_clip,multicluster,0,1,35830.36932,0,1,89814.52044,0,0,1,0,0,,,,,,,
124683.2197,139844.719,2,1,S2B_MSIL2A_20231107T210529_N0509_R071_T58CEC_20231107T220915_clip,single-cluster,0,1,15216.5247,1,1,92135.46186,0,0,1,0,0,,,,,,,
230877.3533,244287.0179,1,2,S2B_MSIL2A_20231117T210529_N0509_R071_T58CEC_20231117T220718_clip,diffuse,0,0,0,0,1,49426.74155,0,0,0,0,0,,,,,,,
759154.2894,569685.5361,1,2,S2B_MSIL2A_20231127T210519_N0509_R071_T58CEC_20231127T220506_clip,diffuse,0,0,0,1,1,45728.42094,0,0,1,0,0,,,,,,,
1904636.982,971034.178,1,1,S2B_MSIL2A_20231207T210519_N0509_R071_T58CEC_20231207T220828_clip,diffuse,0,0,0,1,1,37008.58093,1,0,1,0,0,,,,,,,
2544602.236,1525596.524,1,1,S2B_MSIL2A_20231213T212429_N0510_R014_T58CEC_20231213T225720_clip,diffuse,1,0,0,1,1,39875.58642,0,1,1,0,0,,,,,,,
0,0,,,S2B_MSIL2A_20231227T210529_N0510_R071_T58CEC_20231227T221405_clip,no guano,0,1,27314.62288,0,0,48849.95738,0,0,0,0,0,,,,,,,
,167861.2321,,3,S2B_MSIL2A_20240112T212429_N0510_R014_T58CEC_20240112T232931_clip,diffuse,1,0,0,0,1,0,1,0,0,0,0,,,,,,,
,,,,S2B_MSIL2A_20240201T212419_N0510_R014_T58CEC_20240202T004014_clip,no guano,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
413576.8968,,1,,Multispectral_LC08_L2SR_059113_20150125_20201016_02_T2_MTL_clip,diffuse,0,1,137512.9562,0,0,0,1,0,0,0,0,,,,,,,
130851.5614,,2,,Multispectral_LC08_L2SR_059113_20151008_20201016_02_T2_MTL_clip,single-cluster,1,0,0,0,0,0,0,1,0,0,0,,,,,,,
169386.6949,240983.6483,1,2,Multispectral_LC08_L2SR_060113_20141028_20201016_02_T2_MTL_clip,single-cluster,1,1,151800.425,0,1,135989.3076,0,1,1,0,0,,,,,,,
233427.2375,144469.2308,2,3,Multispectral_LC08_L2SR_060113_20151015_20201016_02_T2_MTL_clip,single-cluster,0,0,0,0,1,193932.331,0,0,1,0,0,,,,,,,
3012423.61,2564008.112,1,1,Multispectral_LC08_L2SR_060113_20151202_20201016_02_T2_MTL_clip,diffuse,0,1,41958.27099,1,1,69954.09172,1,0,1,0,0,,,,,,,
427714.7925,389566.0483,2,2,Multispectral_LC08_L2SR_061113_20141104_20201016_02_T2_MTL_clip,single-cluster,0,1,133538.9689,1,1,103993.8188,1,0,1,0,0,,,,,,,
65719.6264,63366.64835,4,3,Multispectral_LC08_L2SR_061113_20151022_20201016_02_T2_MTL_clip,multicluster,1,1,204976.3078,0,1,138788.4578,1,1,0,0,0,,,,,,,
